PING 43.132.251.85 (43.132.251.85) 56(84) bytes of data.
64 bytes from 43.132.251.85: icmp_seq=3 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=5 ttl=48 time=41.2 ms
64 bytes from 43.132.251.85: icmp_seq=6 ttl=48 time=44.2 ms
64 bytes from 43.132.251.85: icmp_seq=7 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=9 ttl=48 time=44.1 ms
64 bytes from 43.132.251.85: icmp_seq=11 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=12 ttl=48 time=44.2 ms
64 bytes from 43.132.251.85: icmp_seq=13 ttl=48 time=44.1 ms
64 bytes from 43.132.251.85: icmp_seq=14 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=16 ttl=48 time=42.0 ms
64 bytes from 43.132.251.85: icmp_seq=18 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=19 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=20 ttl=48 time=44.1 ms
64 bytes from 43.132.251.85: icmp_seq=22 ttl=48 time=43.9 ms
64 bytes from 43.132.251.85: icmp_seq=26 ttl=48 time=41.2 ms
64 bytes from 43.132.251.85: icmp_seq=27 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=29 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=31 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=33 ttl=48 time=41.2 ms
64 bytes from 43.132.251.85: icmp_seq=36 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=37 ttl=48 time=43.9 ms
64 bytes from 43.132.251.85: icmp_seq=38 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=40 ttl=48 time=43.9 ms
64 bytes from 43.132.251.85: icmp_seq=41 ttl=48 time=41.4 ms
64 bytes from 43.132.251.85: icmp_seq=42 ttl=48 time=43.9 ms
64 bytes from 43.132.251.85: icmp_seq=43 ttl=48 time=41.2 ms
64 bytes from 43.132.251.85: icmp_seq=44 ttl=48 time=44.1 ms
64 bytes from 43.132.251.85: icmp_seq=45 ttl=48 time=42.3 ms
64 bytes from 43.132.251.85: icmp_seq=46 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=47 ttl=48 time=43.9 ms
64 bytes from 43.132.251.85: icmp_seq=48 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=49 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=50 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=51 ttl=48 time=43.9 ms
64 bytes from 43.132.251.85: icmp_seq=52 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=53 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=54 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=55 ttl=48 time=41.2 ms
64 bytes from 43.132.251.85: icmp_seq=59 ttl=48 time=43.8 ms
64 bytes from 43.132.251.85: icmp_seq=60 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=61 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=62 ttl=48 time=41.1 ms
