PING 43.132.251.85 (43.132.251.85) 56(84) bytes of data.
64 bytes from 43.132.251.85: icmp_seq=63 ttl=48 time=43.8 ms
64 bytes from 43.132.251.85: icmp_seq=64 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=65 ttl=48 time=41.2 ms
64 bytes from 43.132.251.85: icmp_seq=66 ttl=48 time=44.1 ms
64 bytes from 43.132.251.85: icmp_seq=67 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=68 ttl=48 time=43.9 ms
64 bytes from 43.132.251.85: icmp_seq=69 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=70 ttl=48 time=44.1 ms
64 bytes from 43.132.251.85: icmp_seq=71 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=72 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=75 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=76 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=77 ttl=48 time=41.2 ms
64 bytes from 43.132.251.85: icmp_seq=78 ttl=48 time=43.9 ms
64 bytes from 43.132.251.85: icmp_seq=79 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=80 ttl=48 time=44.1 ms
64 bytes from 43.132.251.85: icmp_seq=82 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=83 ttl=48 time=43.8 ms
64 bytes from 43.132.251.85: icmp_seq=85 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=86 ttl=48 time=41.2 ms
64 bytes from 43.132.251.85: icmp_seq=87 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=89 ttl=48 time=41.2 ms
64 bytes from 43.132.251.85: icmp_seq=91 ttl=48 time=41.2 ms
64 bytes from 43.132.251.85: icmp_seq=92 ttl=48 time=43.9 ms
64 bytes from 43.132.251.85: icmp_seq=93 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=94 ttl=48 time=41.2 ms
64 bytes from 43.132.251.85: icmp_seq=95 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=97 ttl=48 time=43.9 ms
64 bytes from 43.132.251.85: icmp_seq=99 ttl=48 time=41.4 ms
64 bytes from 43.132.251.85: icmp_seq=100 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=101 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=102 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=104 ttl=48 time=41.9 ms
64 bytes from 43.132.251.85: icmp_seq=106 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=108 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=109 ttl=48 time=43.5 ms
64 bytes from 43.132.251.85: icmp_seq=111 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=112 ttl=48 time=43.9 ms
64 bytes from 43.132.251.85: icmp_seq=113 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=115 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=116 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=118 ttl=48 time=41.2 ms
64 bytes from 43.132.251.85: icmp_seq=120 ttl=48 time=42.8 ms
64 bytes from 43.132.251.85: icmp_seq=121 ttl=48 time=41.6 ms
64 bytes from 43.132.251.85: icmp_seq=122 ttl=48 time=43.9 ms
64 bytes from 43.132.251.85: icmp_seq=123 ttl=48 time=41.2 ms
64 bytes from 43.132.251.85: icmp_seq=126 ttl=48 time=43.9 ms
64 bytes from 43.132.251.85: icmp_seq=128 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=129 ttl=48 time=43.7 ms
64 bytes from 43.132.251.85: icmp_seq=130 ttl=48 time=42.0 ms
64 bytes from 43.132.251.85: icmp_seq=132 ttl=48 time=41.2 ms
64 bytes from 43.132.251.85: icmp_seq=134 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=136 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=138 ttl=48 time=43.7 ms
64 bytes from 43.132.251.85: icmp_seq=140 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=141 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=143 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=144 ttl=48 time=43.9 ms
64 bytes from 43.132.251.85: icmp_seq=145 ttl=48 time=42.4 ms
64 bytes from 43.132.251.85: icmp_seq=146 ttl=48 time=41.8 ms
64 bytes from 43.132.251.85: icmp_seq=147 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=149 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=150 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=152 ttl=48 time=42.6 ms
64 bytes from 43.132.251.85: icmp_seq=154 ttl=48 time=43.9 ms
64 bytes from 43.132.251.85: icmp_seq=155 ttl=48 time=41.2 ms
64 bytes from 43.132.251.85: icmp_seq=157 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=158 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=159 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=161 ttl=48 time=43.3 ms
64 bytes from 43.132.251.85: icmp_seq=162 ttl=48 time=41.3 ms
64 bytes from 43.132.251.85: icmp_seq=163 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=165 ttl=48 time=44.1 ms
64 bytes from 43.132.251.85: icmp_seq=166 ttl=48 time=43.8 ms
64 bytes from 43.132.251.85: icmp_seq=167 ttl=48 time=42.6 ms
64 bytes from 43.132.251.85: icmp_seq=170 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=171 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=172 ttl=48 time=43.9 ms
64 bytes from 43.132.251.85: icmp_seq=174 ttl=48 time=43.9 ms
64 bytes from 43.132.251.85: icmp_seq=175 ttl=48 time=44.1 ms
64 bytes from 43.132.251.85: icmp_seq=176 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=179 ttl=48 time=43.9 ms
64 bytes from 43.132.251.85: icmp_seq=182 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=183 ttl=48 time=41.8 ms
64 bytes from 43.132.251.85: icmp_seq=184 ttl=48 time=43.9 ms
64 bytes from 43.132.251.85: icmp_seq=187 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=189 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=190 ttl=48 time=42.5 ms
64 bytes from 43.132.251.85: icmp_seq=191 ttl=48 time=43.8 ms
64 bytes from 43.132.251.85: icmp_seq=192 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=193 ttl=48 time=43.9 ms
64 bytes from 43.132.251.85: icmp_seq=194 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=195 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=197 ttl=48 time=43.4 ms
64 bytes from 43.132.251.85: icmp_seq=198 ttl=48 time=44.1 ms
64 bytes from 43.132.251.85: icmp_seq=199 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=201 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=202 ttl=48 time=43.9 ms
64 bytes from 43.132.251.85: icmp_seq=203 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=204 ttl=48 time=43.4 ms
64 bytes from 43.132.251.85: icmp_seq=206 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=207 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=208 ttl=48 time=41.2 ms
64 bytes from 43.132.251.85: icmp_seq=211 ttl=48 time=41.2 ms
64 bytes from 43.132.251.85: icmp_seq=212 ttl=48 time=43.8 ms
64 bytes from 43.132.251.85: icmp_seq=213 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=216 ttl=48 time=44.1 ms
64 bytes from 43.132.251.85: icmp_seq=218 ttl=48 time=43.2 ms
64 bytes from 43.132.251.85: icmp_seq=219 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=221 ttl=48 time=44.1 ms
64 bytes from 43.132.251.85: icmp_seq=222 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=224 ttl=48 time=43.8 ms
64 bytes from 43.132.251.85: icmp_seq=225 ttl=48 time=41.5 ms
64 bytes from 43.132.251.85: icmp_seq=226 ttl=48 time=43.9 ms
64 bytes from 43.132.251.85: icmp_seq=229 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=230 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=232 ttl=48 time=42.1 ms
64 bytes from 43.132.251.85: icmp_seq=233 ttl=48 time=44.1 ms
64 bytes from 43.132.251.85: icmp_seq=234 ttl=48 time=41.2 ms
64 bytes from 43.132.251.85: icmp_seq=235 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=239 ttl=48 time=44.2 ms
64 bytes from 43.132.251.85: icmp_seq=241 ttl=48 time=44.2 ms
64 bytes from 43.132.251.85: icmp_seq=242 ttl=48 time=44.1 ms
64 bytes from 43.132.251.85: icmp_seq=243 ttl=48 time=41.2 ms
64 bytes from 43.132.251.85: icmp_seq=244 ttl=48 time=44.2 ms
64 bytes from 43.132.251.85: icmp_seq=245 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=248 ttl=48 time=41.9 ms
64 bytes from 43.132.251.85: icmp_seq=249 ttl=48 time=43.9 ms
64 bytes from 43.132.251.85: icmp_seq=250 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=253 ttl=48 time=42.5 ms
64 bytes from 43.132.251.85: icmp_seq=255 ttl=48 time=42.3 ms
64 bytes from 43.132.251.85: icmp_seq=256 ttl=48 time=44.1 ms
64 bytes from 43.132.251.85: icmp_seq=257 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=258 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=259 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=260 ttl=48 time=42.4 ms
64 bytes from 43.132.251.85: icmp_seq=261 ttl=48 time=43.9 ms
64 bytes from 43.132.251.85: icmp_seq=262 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=263 ttl=48 time=44.1 ms
64 bytes from 43.132.251.85: icmp_seq=266 ttl=48 time=44.1 ms
64 bytes from 43.132.251.85: icmp_seq=267 ttl=48 time=41.2 ms
64 bytes from 43.132.251.85: icmp_seq=269 ttl=48 time=44.1 ms
64 bytes from 43.132.251.85: icmp_seq=271 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=272 ttl=48 time=41.2 ms
64 bytes from 43.132.251.85: icmp_seq=274 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=275 ttl=48 time=44.3 ms
64 bytes from 43.132.251.85: icmp_seq=276 ttl=48 time=43.9 ms
64 bytes from 43.132.251.85: icmp_seq=277 ttl=48 time=41.5 ms
64 bytes from 43.132.251.85: icmp_seq=278 ttl=48 time=43.9 ms
64 bytes from 43.132.251.85: icmp_seq=279 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=280 ttl=48 time=43.9 ms
64 bytes from 43.132.251.85: icmp_seq=281 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=282 ttl=48 time=43.9 ms
64 bytes from 43.132.251.85: icmp_seq=285 ttl=48 time=43.9 ms
64 bytes from 43.132.251.85: icmp_seq=286 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=287 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=291 ttl=48 time=43.9 ms
64 bytes from 43.132.251.85: icmp_seq=292 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=293 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=294 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=296 ttl=48 time=43.9 ms
64 bytes from 43.132.251.85: icmp_seq=297 ttl=48 time=43.3 ms
64 bytes from 43.132.251.85: icmp_seq=298 ttl=48 time=41.2 ms
64 bytes from 43.132.251.85: icmp_seq=299 ttl=48 time=44.1 ms
64 bytes from 43.132.251.85: icmp_seq=300 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=301 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=302 ttl=48 time=41.2 ms
64 bytes from 43.132.251.85: icmp_seq=303 ttl=48 time=44.1 ms
64 bytes from 43.132.251.85: icmp_seq=304 ttl=48 time=43.7 ms
64 bytes from 43.132.251.85: icmp_seq=305 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=307 ttl=48 time=41.5 ms
64 bytes from 43.132.251.85: icmp_seq=309 ttl=48 time=43.0 ms
64 bytes from 43.132.251.85: icmp_seq=310 ttl=48 time=41.3 ms
64 bytes from 43.132.251.85: icmp_seq=311 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=312 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=313 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=314 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=316 ttl=48 time=44.1 ms
64 bytes from 43.132.251.85: icmp_seq=317 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=318 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=319 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=320 ttl=48 time=44.1 ms
64 bytes from 43.132.251.85: icmp_seq=324 ttl=48 time=44.1 ms
64 bytes from 43.132.251.85: icmp_seq=325 ttl=48 time=41.7 ms
64 bytes from 43.132.251.85: icmp_seq=328 ttl=48 time=43.9 ms
64 bytes from 43.132.251.85: icmp_seq=329 ttl=48 time=43.6 ms
64 bytes from 43.132.251.85: icmp_seq=330 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=331 ttl=48 time=43.9 ms
64 bytes from 43.132.251.85: icmp_seq=334 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=335 ttl=48 time=44.2 ms
64 bytes from 43.132.251.85: icmp_seq=337 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=338 ttl=48 time=43.9 ms
64 bytes from 43.132.251.85: icmp_seq=340 ttl=48 time=41.3 ms
64 bytes from 43.132.251.85: icmp_seq=341 ttl=48 time=44.1 ms
64 bytes from 43.132.251.85: icmp_seq=342 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=345 ttl=48 time=41.3 ms
64 bytes from 43.132.251.85: icmp_seq=346 ttl=48 time=43.9 ms
64 bytes from 43.132.251.85: icmp_seq=347 ttl=48 time=44.1 ms
64 bytes from 43.132.251.85: icmp_seq=348 ttl=48 time=41.6 ms
64 bytes from 43.132.251.85: icmp_seq=351 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=352 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=353 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=354 ttl=48 time=44.7 ms
64 bytes from 43.132.251.85: icmp_seq=355 ttl=48 time=42.5 ms
64 bytes from 43.132.251.85: icmp_seq=356 ttl=48 time=41.2 ms
64 bytes from 43.132.251.85: icmp_seq=358 ttl=48 time=43.1 ms
64 bytes from 43.132.251.85: icmp_seq=359 ttl=48 time=43.2 ms
64 bytes from 43.132.251.85: icmp_seq=360 ttl=48 time=44.1 ms
64 bytes from 43.132.251.85: icmp_seq=361 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=362 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=363 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=366 ttl=48 time=44.1 ms
64 bytes from 43.132.251.85: icmp_seq=367 ttl=48 time=41.2 ms
64 bytes from 43.132.251.85: icmp_seq=368 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=369 ttl=48 time=41.3 ms
64 bytes from 43.132.251.85: icmp_seq=371 ttl=48 time=43.9 ms
64 bytes from 43.132.251.85: icmp_seq=374 ttl=48 time=45.0 ms
64 bytes from 43.132.251.85: icmp_seq=376 ttl=48 time=44.1 ms
64 bytes from 43.132.251.85: icmp_seq=377 ttl=48 time=43.6 ms
64 bytes from 43.132.251.85: icmp_seq=379 ttl=48 time=44.2 ms
64 bytes from 43.132.251.85: icmp_seq=382 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=383 ttl=48 time=41.3 ms
64 bytes from 43.132.251.85: icmp_seq=384 ttl=48 time=44.5 ms
64 bytes from 43.132.251.85: icmp_seq=385 ttl=48 time=44.2 ms
64 bytes from 43.132.251.85: icmp_seq=389 ttl=48 time=42.7 ms
64 bytes from 43.132.251.85: icmp_seq=390 ttl=48 time=44.1 ms
64 bytes from 43.132.251.85: icmp_seq=391 ttl=48 time=43.5 ms
64 bytes from 43.132.251.85: icmp_seq=392 ttl=48 time=41.3 ms
64 bytes from 43.132.251.85: icmp_seq=394 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=397 ttl=48 time=41.3 ms
64 bytes from 43.132.251.85: icmp_seq=398 ttl=48 time=44.5 ms
64 bytes from 43.132.251.85: icmp_seq=399 ttl=48 time=41.2 ms
64 bytes from 43.132.251.85: icmp_seq=401 ttl=48 time=43.9 ms
64 bytes from 43.132.251.85: icmp_seq=403 ttl=48 time=44.1 ms
64 bytes from 43.132.251.85: icmp_seq=404 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=407 ttl=48 time=44.1 ms
64 bytes from 43.132.251.85: icmp_seq=409 ttl=48 time=41.2 ms
64 bytes from 43.132.251.85: icmp_seq=413 ttl=48 time=43.1 ms
64 bytes from 43.132.251.85: icmp_seq=414 ttl=48 time=43.1 ms
64 bytes from 43.132.251.85: icmp_seq=415 ttl=48 time=44.1 ms
64 bytes from 43.132.251.85: icmp_seq=416 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=417 ttl=48 time=44.1 ms
64 bytes from 43.132.251.85: icmp_seq=418 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=419 ttl=48 time=43.9 ms
64 bytes from 43.132.251.85: icmp_seq=420 ttl=48 time=43.8 ms
64 bytes from 43.132.251.85: icmp_seq=421 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=422 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=423 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=425 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=427 ttl=48 time=43.8 ms
64 bytes from 43.132.251.85: icmp_seq=428 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=430 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=431 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=433 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=435 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=436 ttl=48 time=41.3 ms
64 bytes from 43.132.251.85: icmp_seq=438 ttl=48 time=41.3 ms
64 bytes from 43.132.251.85: icmp_seq=439 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=440 ttl=48 time=41.2 ms
64 bytes from 43.132.251.85: icmp_seq=442 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=444 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=445 ttl=48 time=41.2 ms
64 bytes from 43.132.251.85: icmp_seq=446 ttl=48 time=43.9 ms
64 bytes from 43.132.251.85: icmp_seq=447 ttl=48 time=42.7 ms
64 bytes from 43.132.251.85: icmp_seq=449 ttl=48 time=43.8 ms
64 bytes from 43.132.251.85: icmp_seq=450 ttl=48 time=41.2 ms
64 bytes from 43.132.251.85: icmp_seq=452 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=454 ttl=48 time=43.8 ms
64 bytes from 43.132.251.85: icmp_seq=456 ttl=48 time=43.9 ms
64 bytes from 43.132.251.85: icmp_seq=457 ttl=48 time=41.2 ms
64 bytes from 43.132.251.85: icmp_seq=459 ttl=48 time=41.2 ms
64 bytes from 43.132.251.85: icmp_seq=460 ttl=48 time=43.9 ms
64 bytes from 43.132.251.85: icmp_seq=461 ttl=48 time=42.8 ms
64 bytes from 43.132.251.85: icmp_seq=465 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=466 ttl=48 time=41.2 ms
64 bytes from 43.132.251.85: icmp_seq=467 ttl=48 time=43.9 ms
64 bytes from 43.132.251.85: icmp_seq=468 ttl=48 time=43.2 ms
64 bytes from 43.132.251.85: icmp_seq=469 ttl=48 time=42.5 ms
64 bytes from 43.132.251.85: icmp_seq=472 ttl=48 time=43.9 ms
64 bytes from 43.132.251.85: icmp_seq=473 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=475 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=476 ttl=48 time=41.2 ms
64 bytes from 43.132.251.85: icmp_seq=478 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=479 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=480 ttl=48 time=41.2 ms
64 bytes from 43.132.251.85: icmp_seq=482 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=483 ttl=48 time=41.2 ms
64 bytes from 43.132.251.85: icmp_seq=484 ttl=48 time=44.1 ms
64 bytes from 43.132.251.85: icmp_seq=485 ttl=48 time=41.2 ms
64 bytes from 43.132.251.85: icmp_seq=486 ttl=48 time=44.1 ms
64 bytes from 43.132.251.85: icmp_seq=487 ttl=48 time=41.2 ms
64 bytes from 43.132.251.85: icmp_seq=488 ttl=48 time=43.9 ms
64 bytes from 43.132.251.85: icmp_seq=490 ttl=48 time=41.5 ms
64 bytes from 43.132.251.85: icmp_seq=492 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=493 ttl=48 time=44.0 ms
64 bytes from 43.132.251.85: icmp_seq=494 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=495 ttl=48 time=42.7 ms
64 bytes from 43.132.251.85: icmp_seq=497 ttl=48 time=41.2 ms
64 bytes from 43.132.251.85: icmp_seq=499 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=501 ttl=48 time=44.2 ms
64 bytes from 43.132.251.85: icmp_seq=504 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=506 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=507 ttl=48 time=43.9 ms
64 bytes from 43.132.251.85: icmp_seq=508 ttl=48 time=42.1 ms
64 bytes from 43.132.251.85: icmp_seq=509 ttl=48 time=42.2 ms
64 bytes from 43.132.251.85: icmp_seq=510 ttl=48 time=44.1 ms
64 bytes from 43.132.251.85: icmp_seq=511 ttl=48 time=41.2 ms
64 bytes from 43.132.251.85: icmp_seq=512 ttl=48 time=43.9 ms
64 bytes from 43.132.251.85: icmp_seq=513 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=515 ttl=48 time=42.6 ms
64 bytes from 43.132.251.85: icmp_seq=516 ttl=48 time=43.6 ms
64 bytes from 43.132.251.85: icmp_seq=517 ttl=48 time=44.1 ms
64 bytes from 43.132.251.85: icmp_seq=518 ttl=48 time=41.1 ms
64 bytes from 43.132.251.85: icmp_seq=520 ttl=48 time=41.5 ms
64 bytes from 43.132.251.85: icmp_seq=522 ttl=48 time=44.0 ms
